Unnamed: 0,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,Child_Left_Category,Child_Right_Category
16,122,view_suite_floor_room_upgraded,"[4, 16]",4,view_floor_views_room_harbor,16,suite_upgraded_king_deluxe_upgrade,0.6611664424721411,Room and Ameneties,Facilities and Activities
15,121,decor_hotel_modern_furnishings_beautiful,"[25, 46]",46,decor_furnishings_style_modern_elegance,25,hotel_decor_historic_renovated_modern,0.6499280713352488,Special Occasions and Events,Facilities and Activities
14,120,stayed_nights_august_here_wife,"[35, 97, 104]",112,nights_stayed_august_here_wife,97,stayed_days_here_adams_hay,0.6424839152676544,Food and Beverage,Location
13,119,tv_mirror_bathroom_channels_screen,"[67, 72]",67,mirror_tv_bathroom_built_mirrors,72,tv_channels_large_hd_screen,0.6371902318899431,Facilities and Activities,Technologhy and Internet
12,118,rooms_are_spacious_comfortable_room,"[20, 87]",20,rooms_are_spacious_comfortable_decorated,87,clean_spacious_modern_room_rooms,0.6252391962671625,Facilities and Activities,Cleanliness and Maintenance
11,117,this_experience_hotel_say_overall,"[2, 17]",17,hotel_this_recommend_highly_would,2,experience_say_it_overall_expectations,0.6236678802544919,Facilities and Activities,Service and Staff
10,116,desk_front_staff_helpful_valet,"[33, 86, 98]",86,valet_desk_front_staff_everyone,111,desk_front_helpful_staff_professional,0.6191694671294543,Parking and Transportation,Service and Staff
9,115,service_customer_impeccable_friendly_was,"[15, 82]",15,service_customer_impeccable_friendly_exceptional,82,service_room_poor_znd_timeliness,0.5829596043628738,Service and Staff,Cleanliness and Maintenance
8,114,nyc_york_new_ny_chatwal,"[8, 54]",54,nyc_standards_manhattan_rooms_spacious,8,nyc_york_new_ny_chatwal,0.4900882943144595,Facilities and Activities,Location
7,113,ritz_carlton_at_stayed_charlotte,"[40, 41]",40,carlton_ritz_charlotte_at_stayed,41,ritz_at_fabulous_stay_service,0.4669953962491231,Food and Beverage,Food and Beverage
6,112,nights_stayed_august_here_wife,"[35, 104]",104,nights_august_spent_during_this,35,stayed_nights_august_here_wife,0.463010929187732,Food and Beverage,Food and Beverage
5,111,desk_front_helpful_staff_professional,"[33, 98]",33,desk_front_helpful_professional_staff,98,desk_front_told_said_agent,0.4256183458148107,Service and Staff,Cleanliness and Maintenance
4,110,again_here_would_stay_definitely,"[37, 77]",77,here_will_again_staying_stay,37,again_would_here_stay_definitely,0.4237268555336994,Cleanliness and Maintenance,Facilities and Activities
3,109,back_will_return_definitely_be,"[29, 69]",29,back_will_return_be_definitely,69,return_will_again_back_would,0.4143126044445486,Cleanliness and Maintenance,Cleanliness and Maintenance
2,108,star_five_stars_this_hotel,"[56, 64]",64,star_stars_five_category_every,56,star_five_stars_hotel_hotels,0.3551541829515494,Food and Beverage,Food and Beverage
1,107,staff_friendly_helpful_very_professional,"[6, 14]",14,staff_hotel_friendly_helpful_guest,6,staff_friendly_helpful_very_professional,0.2954924697414379,Service and Staff,Service and Staff
0,106,location_shopping_walking_walk_restaurants,"[0, 18]",0,location_shopping_walk_walking_distance,18,location_hotel_located_is_square,0.2941505591153072,Location,Location
